,census_tract_code,year,arrests_B,arrests_W,arrests_total,state,county,ct_pop,ct_white,ct_black,pct_white,pct_black,b_arr_pct_total,w_arr_pct_total,tot_arr_pct_total,tot_arr_pct_co_pop,w_arr_pct_co_pop,b_arr_pct_co_pop,w_arr_pct_w_pop,b_arr_pct_b_pop,rTot,rB,rW,eTot,eB,eW,sir_total,sir_black,sir_white,total_effects,white_effects,black_effects
39,10501,2012,178,351,535,37,129,4146,2350,1403,0.566811384,0.338398456,33.28349841,65.61390394,100,12.90369263,8.465787125,4.293191192,14.93553466,12.68619485,0.03416607,0.016395397,0.017582894,141.7525244,23.10274219,41.41980196,3.774183226,7.704713082,8.474207586,0.12815067,0.1618834,0.2616975
40,10501,2013,162,378,546,37,129,4065,2409,1477,0.592619926,0.363345633,29.6832082,69.23640359,100,13.4314039,9.29866424,3.985141817,15.69050683,10.96743619,0.03416607,0.016395397,0.017582894,138.9850728,24.31600158,42.45719274,3.928479433,6.662279547,8.903085099,1.45486868,0.56551443,11.94728769
41,10501,2014,146,313,460,37,129,4380,2720,1426,0.621004566,0.325570776,31.75396653,68.05042382,100,10.50204333,7.145955572,3.333257232,11.50692989,10.23771124,0.03416607,0.016395397,0.017582894,149.7473847,23.47983633,47.92547291,3.071839958,6.218101266,6.530973634,0.33814678,0.39608505,0.53820425
42,10501,2015,108,226,334,37,129,4622,2999,1398,0.64885331,0.302466465,32.35558216,67.674349,100,7.226152615,4.889552368,2.336600247,7.535594012,7.72476933,0.03416607,0.016395397,0.017582894,158.0155735,23.02076521,52.83110046,2.113715709,4.691416598,4.277783313,0.32567841,0.40333376,0.91079616
43,10501,2016,124,253,385,37,129,4440,3013,1187,0.678603604,0.267342342,32.225396,65.72318878,100,8.670975879,5.698069863,2.792729893,8.396667884,10.44562379,0.03416607,0.016395397,0.017582894,151.7973489,19.56133641,53.07726099,2.536276179,6.339035197,4.76663632,0.58482561,0.6880761,0.28985723
44,10501,2017,124,181,307,37,129,4274,2844,1226,0.665418811,0.286850725,40.41028981,58.97101921,100,7.182798718,4.234809668,2.901195573,6.364051897,10.11336759,0.03416607,0.016395397,0.017582894,146.1257813,20.2007569,50.10575182,2.100929741,6.138383855,3.612359727,0.7269703,0.85914203,0.94814317
45,10501,2018,102,254,362,37,129,4396,3200,1169,0.727934486,0.265923567,28.19663076,70.17398509,100,8.234571552,5.777848548,2.320238393,7.937251961,8.724659995,0.03416607,0.016395397,0.017582894,150.2940418,19.26621926,56.36526225,2.408611783,5.294240588,4.506321622,2.68240289,4.11209004,2.73360647
46,10502,2010,191,236,428,37,129,7375,5021,1912,0.680813559,0.259254237,44.63910301,55.15066573,100,5.803311142,3.199956611,2.589795393,4.700165302,9.989017311,0.03416607,0.016395397,0.017582894,252.0747631,31.44799934,88.38371305,1.697908965,6.073518316,2.670175215,1.81900414,1.12140264,2.40269638
47,10502,2011,181,308,493,37,129,7441,5563,1375,0.747614568,0.184786991,36.72683026,62.48225512,100,6.625364529,4.139172972,2.432436065,5.536481458,13.16267908,0.03416607,0.016395397,0.017582894,254.3297237,22.64367107,97.91364184,1.93842856,7.993403517,3.145629089,1.80611227,1.23519364,2.9183487
48,10502,2012,202,309,515,37,129,7991,5973,1178,0.747465899,0.147415843,39.23509998,60.00776548,100,6.444669695,3.866801817,2.527812191,5.173193149,17.14625244,0.03416607,0.016395397,0.017582894,273.1210619,19.41377784,105.1226286,1.885610712,10.40498154,2.939424215,1.2147675,1.16949714,1.83105242
